2021-03-04 10:51:01.677 [http-nio-8091-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-04 10:51:01.681 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-04 10:51:01.786 [http-nio-8091-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 105 ms
2021-03-04 10:51:02.001 [http-nio-8091-exec-1] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=VoteResult{voteGranted='false', term=3}, message=success}
2021-03-04 10:51:03.493 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=false, status=0} maybe become leader , success count = 0 , status : CANDIDATE
2021-03-04 10:51:04.980 [main] INFO  com.gdut.fundraising.FundraisingApplication - Starting FundraisingApplication on DESKTOP-0LLU013 with PID 16400 (D:\GIT_RES\java管理系统\blockchain\fundraising\target\classes started by Lenovo in D:\GIT_RES\java管理系统\blockchain)
2021-03-04 10:51:04.984 [main] INFO  com.gdut.fundraising.FundraisingApplication - The following profiles are active: dev8090
2021-03-04 10:51:06.755 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - nodeList size : 2, node list content : [NodeInfo{id='localhost:8090', ip=localhost, port=8090, alive=false, status=0}, NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=false, status=0}]
2021-03-04 10:51:06.791 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - futureArrayList.size() : 2
2021-03-04 10:51:07.559 [http-nio-8092-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-04 10:51:07.559 [http-nio-8092-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-04 10:51:07.666 [http-nio-8092-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 107 ms
2021-03-04 10:51:07.813 [http-nio-8092-exec-1] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=VoteResult{voteGranted='true', term=4}, message=success}
2021-03-04 10:51:09.127 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node NodeInfo{id='localhost:8091', ip=localhost, port=8091, alive=false, status=0} maybe become leader , success count = 1 , status : CANDIDATE
2021-03-04 10:51:09.482 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:09.483 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=1
2021-03-04 10:51:09.483 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=1
2021-03-04 10:51:09.546 [http-nio-8092-exec-2] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:09.547 [http-nio-8092-exec-2] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:12.050 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2021-03-04 10:51:12.062 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2021-03-04 10:51:12.063 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-03-04 10:51:12.064 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-03-04 10:51:12.255 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring embedded WebApplicationContext
2021-03-04 10:51:12.255 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7192 ms
2021-03-04 10:51:13.454 [main] INFO  c.gdut.fundraising.manager.impl.RaftLogManagerImpl - log manager init success!!
2021-03-04 10:51:13.497 [main] INFO  com.gdut.fundraising.entities.raft.DefaultNode - start success, selfId : localhost:8090 
2021-03-04 10:51:14.071 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-03-04 10:51:14.774 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:14.774 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=1
2021-03-04 10:51:14.774 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=1
2021-03-04 10:51:14.790 [http-nio-8092-exec-3] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:14.792 [http-nio-8092-exec-3] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:15.673 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2021-03-04 10:51:15.873 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/fundraising'
2021-03-04 10:51:15.914 [main] INFO  com.gdut.fundraising.FundraisingApplication - Started FundraisingApplication in 11.649 seconds (JVM running for 12.497)
2021-03-04 10:51:16.039 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/fundraising] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-03-04 10:51:16.080 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-03-04 10:51:16.200 [http-nio-8090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 100 ms
2021-03-04 10:51:17.365 [http-nio-8090-exec-1] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:17.366 [http-nio-8090-exec-1] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:20.020 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - ===========HeartBeatTask-NextIndex =============
2021-03-04 10:51:20.021 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8090 nextIndex=1
2021-03-04 10:51:20.021 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - node localhost:8092 nextIndex=1
2021-03-04 10:51:20.031 [http-nio-8092-exec-4] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:20.031 [http-nio-8092-exec-4] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:20.035 [http-nio-8090-exec-3] INFO  c.g.f.manager.impl.RaftConsensusManagerImpl - node localhost:8091 append heartbeat success , he's term : 4, my term : 4
2021-03-04 10:51:20.035 [http-nio-8090-exec-3] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:23.865 [http-nio-8091-exec-2] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - write logModule success, logEntry info : LogEntry{index='1', term=4'data='Thu Mar 04 10:51:23 CST 2021}, log index : 1
2021-03-04 10:51:23.900 [http-nio-8092-exec-5] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:23.904 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - append follower entry success , follower=[NodeInfo{id='localhost:8092', ip=localhost, port=8092, alive=true, status=0}], entry=[[LogEntry{index='1', term=4'data='Thu Mar 04 10:51:23 CST 2021}]]
2021-03-04 10:51:23.977 [http-nio-8090-exec-2] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=AppendLogResult{term='4', success=true}, message=success}
2021-03-04 10:51:23.980 [Raft thread] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - append follower entry success , follower=[NodeInfo{id='localhost:8090', ip=localhost, port=8090, alive=true, status=0}], entry=[[LogEntry{index='1', term=4'data='Thu Mar 04 10:51:23 CST 2021}]]
2021-03-04 10:51:23.980 [http-nio-8091-exec-2] INFO  com.gdut.fundraising.entities.raft.BlockChainNode - success apply local state machine,  logEntry info : LogEntry{index='1', term=4'data='Thu Mar 04 10:51:23 CST 2021}
2021-03-04 10:51:23.981 [http-nio-8091-exec-2] INFO  com.gdut.fundraising.handler.ControllerLogAop - 返回体 : {code=100, data=true, message=success}
